Genes of transcription unit,Transcription Factors
ilvC,IlvY  // IlvY-2-acetolactate  
malT,Mlc  // CRP-cAMP  // Lrp 
fabA,FabR  // FadR 
mtr,TrpR-Tryptophan  // IHF  // HU  // TyrR-Tyrosine 
purA,MarA  // PurR-Hypoxanthine  // GadE 
appX // appC // appB // appA,YdeO  // AppY  // ArcA 
araH // araG // araF,CRP-cAMP  // AraC-Arabinose 
araJ,CRP-cAMP  // AraC-Arabinose 
cydA // cydB,HypT-[Met-oxidized]  // FNR  // H-NS  // ArcA 
cyoE // cyoD // cyoC // cyoB // cyoA,YedW  // CusR-P<SUP>asp</SUP>  // Cra  // PdhR  // FNR  // ArcA  // Fur-Fe<sup>2+</sup>  // GadE  // CRP-cAMP 
sucA // sucB // sucC // sucD,IHF  // ArcA  // FNR 
fumA,ArcA  // FNR  // CRP-cAMP 
icd,ArcA 
mdh,DpiA-P<sup>asp</sup>  // ArcA  // FlhDC  // CRP-cAMP 
carA // carB,ArgR-L-arginine 
carA // carB,Fis  // RutR  // PurR-Hypoxanthine  // aminopeptidase A/I // IHF 
argD,PhoP  // ArgR-L-arginine 
asnA,AsnC 
asnC,AsnC  // Nac 
betT,Cra  // BetI  // ArcA 
bioB // bioF // bioC // bioD,BirA-bio-5'-AMP 
cadC,H-NS  // MlrA  // LeuO  // CadC  // FNR 
crp,Cra  // Fis  // CRP-cAMP 
cpdB,CRP-cAMP 
fur,Fur-Fe<sup>2+</sup>  // CRP-cAMP 
glgP // glgA // glgC,CRP-cAMP 
tdcG // tdcF // tdcE // tdcD // tdcC // tdcB // tdcA,TdcR  // TdcA  // IHF  // CRP-cAMP  // FNR 
ubiG,CRP-cAMP 
ebgA // ebgC,EbgR  // CRP-cAMP 
fucP // fucI // fucK // fucU // fucR,FucR-L-fuculose-1-phosphate  // CRP-cAMP 
nupG,CytR  // DeoR  // CRP-cAMP 
uhpT,UvrY- Phosphorylated  // CRP-cAMP  // UhpA 
melA // melB,MelR  // MelR-Melibiose // CRP-cAMP 
udp,CytR  // CRP-cAMP 
fucO // fucA,FucR-L-fuculose-1-phosphate  // CRP-cAMP 
flhC // flhD,YjjQ  // FliZ   // MatA  // OmpR  // LrhA  // HdfR  // RcsAB  // Fur-Fe<sup>2+</sup>  // IHF  // H-NS  // CRP-cAMP  // QseB 
malS,CRP-cAMP  // MalT-Maltotriose-ATP  // PhoP 
aldB,Fis  // CRP-cAMP 
hns,H-NS  // CspA  // Fis  // GadX 
gyrA,Fis  // CspA  // CRP-cAMP 
cynR,CynR 
cysM // cysA // cysW // cysU // cysP,H-NS  // CysB-O-acetyl-L-serine 
cysC // cysN // cysD,CysB-O-acetyl-L-serine 
nupC,CytR  // CRP-cAMP  // Nac 
dsdX // dsdA,DsdC-D-serine   // CRP-cAMP 
dsdC,NsrR-nitric oxide // DsdC-D-serine  
exuT,DpiA-P<sup>asp</sup>  // ExuR  // CRP-cAMP 
