fpr,SoxS MarA 
nfo,SoxS MarA 
marR marAmarB,CpxR AcrR Cra MarR MarA SoxS Fis 
metC,MetJ 
glyA,PurR MetR 
mtlA mtlDmtlR,MtlR Cra Fis 
manX manYmanZ,Cra Mlc NagC 
codB codA,PurR Nac 
adhE,Lrp Cra NarL Fis 
nrfA nrfBnrfCnrfDnrfE nrfFnrfG,NsrR NsrR Fis FlhD NarL NarP 
phnP phnOphnNphnMphnL phnKphnJphnIphnH phnGphnFphnE_2phnE_1phnDphnC,PhoB 
phoU pstBpstApstCpstS,PhoB 
prs,PurR 
speB speA,PurR 
guaA guaB,Fis PurR DnaA 
rbsR rbsDrbsArbsCrbsB rbsK,RbsR 
wcaB wcaAwzcwzb wza,RcsA 
rhaT,RhaS RhaS 
zwf,Cra SoxS MarA 
ftsQ ftsAftsZ,SdiA 
soxS,AcrR SoxS SoxR 
torC torAtorD,NarL TorR 
treC treB,TreR 
araD araAaraB,AraC AraC 
fadA fadB,Fis FadR 
glpQ glpT,Fis GlpR 
metF,MetJ 
rhaD rhaArhaB,RhaS 
lysU,Lrp 
oppA oppBoppCoppDoppF,Lrp 
sdaA,Lrp 
serA,Nac Lrp 
tdh kbl,Lrp 
argE,ArgR 
eda edd,KdgR GntR Cra 
gntU gntK,GntR IdnR 
gntT,GntR 
accD,FadR 
acrA acrB,MprA EnvR AcrR PhoP MarA SoxS 
adiA,AdiY 
arsR arsBarsC,ArsR 
artM artQartIartP,ArgR 
ascF ascB,AscG 
caiE caiDcaiCcaiBcaiA caiT,CaiF 
chbG chbFchbRchbAchbC chbB,ChbR NagC ChbR 
creA creBcreCcreD,NagC 
cydC cydD,NarL 
dadA dadX,Lrp 
recF dnaNdnaA,DnaA ArgP 
fabH fabDfabG,FadR 
feoC feoAfeoB,NagC 
flgN flgMflgA,FlhD 
flgB flgCflgDflgEflgF flgGflgHflgIflgJ,FlhD 
fliD fliSfliT,FlhD 
fliL fliMfliNfliOfliP fliQfliR,FlhD 
glmS glmU,NagC 
yhiD hdeBhdeA,FliZ PhoP GadE GadW Lrp MarA GadX TorR 
hipA hipB,HipB HipA ant 
hyaA hyaBhyaChyaDhyaE hyaF,YdeO Fis NarL NarP IscR AppY 
hybO hybGhybFhybEhybD hybChybBhybA,NarL 
moeB moeA,NarL 
cheW cheAmotBmotA,CpxR 
ccmH ccmGccmFccmEccmD ccmCccmBccmAnapC napBnapHnapGnapA napDnapF,NarL NarP FlhD 
nikR nikAnikBnikCnikD nikE,NikR NarL 
nuoN nuoMnuoLnuoKnuoJ nuoInuoHnuoGnuoF nuoEnuoCnuoBnuoA,NarL 
phoQ phoP,PhoP 
potF potGpotHpotI,NtrC 
pspA pspBpspCpspDpspE,PspF 
rpsI rplM,Fis 
rpmA rplU,MlrA 
ruvB ruvA,LexA 
serC aroA,Lrp 
tehA tehB,NsrR NsrR 
infC thrS,NsrR 
ttdT ttdAttdB,Dan 
ubiC ubiA,NarL 
dcd udk,RbsR 
xylF xylGxylHxylR,Fis XylR 
dsdA,DsdC 
pflB focA,NarL 
pflB focA,NarL 
pflB,Fis 
bolA,OmpR 
csgC csgBcsgA,FliZ CpxR CsgD 
csgG csgFcsgEcsgD,RcdA BasR FliZ Cra MlrA RstA CpxR RcsA OmpR CsgD 
stpA,Lrp 
osmE,Fis 
htpG,AscG 
mngR,MngR 
fimB,BasR NanR NagC 
tcyJ fliZfliA,CsgD MatA NsrR FlhD 
icd,Cra 
rpoH,CpxR 
rpoH,CytR DnaA 
lrhA,LrhA 
trmA,Fis 
uspA,FadR 
rpsU dnaGrpoD,LexA 
rpoS,MqsA GadX 
pgk epd,Cra 
nuoN nuoMnuoLnuoKnuoJ nuoInuoHnuoGnuoF nuoEnuoCnuoBnuoA,Fis 
tsx,DeoR 
tsx,CytR 
soxR,AcrR SoxR 
mprA emrAemrB,MprA 
ppiA,CpxR 
ppiA,CytR 
ppiA,CytR 
ppiA,CytR 
cadA cadB,Lrp CadC GadX GadE 
fumB dcuB,NarL 
tcyJ fliZfliA,NsrR 
glnB,PurR 
ubiX purFcvpA,PurR 
ompC,Lrp 
ompC,Lrp 
ptsH ptsIcrr,NagC Mlc 
ptsH ptsIcrr,NagC 
ptsH ptsIcrr,NagC 
ptsH ptsIcrr,Cra 
ptsH ptsIcrr,Cra 
rcsA,GadE RcsA 
glmS glmU,NagC 
aspV,Fis 
thrW,Fis 
argU,Fis 
lysT valTlysW,Fis 
proL,Fis 
valU valXvalYlysV,Fis Fis 
argW,Fis 
pheV,Fis 
argX hisRleuTproM,Fis 
tufB thrUtyrUglyTthrT,Fis 
leuX,Fis 
glnX glnVmetUglnWglnU leuWmetT,Fis 
serT,Fis 
serX,Fis 
tpr tyrVtyrT,Fis 
alaX alaW,Fis 
glyU,Fis 
infB nusArimPmetY,Fis 
proK,Fis 
pheU,Fis 
leuV leuPleuQ,Fis 
pdhR aceEaceFlpd,Cra PdhR 
lpd,Fis 
pykF,Cra 
uxuB uxuA,OxyR UxuR ExuR 
aldA,DnaA 
putP,fus pro 
caiF,NarL 
fixX fixCfixBfixA,CaiF 
lldD lldRlldP,LldR LldR 
fimD fimHfimGfimFfimC fimIfimA,Lrp 
fimE,Lrp LrhA 
msrA,Fis 
ampC,BolA 
eda,KdgR 
eda,PhoB 
rseC rseBrseArpoE,CpxR 
xapB xapA,XapR 
