Genes of transcription unit,Transcription Factors
ompF,PhoB   RstA    CpxR  OmpR   IHF   EnvY   CRPcAMP   FurFesup2sup 
oxyR,OxyR   CRPcAMP 
phoA  psiF,PhoB 
phoB  phoR,PhoB 
purB  hflD,PurRHypoxanthine 
purC,PurRHypoxanthine 
purD  purH,RbsR   PurRHypoxanthine   PhoP 
purL,PurRHypoxanthine 
purM  purN,PurRHypoxanthine   FNR 
purR,PurRHypoxanthine   FurFesup2sup 
pyrC,FurFesup2sup   PurRHypoxanthine 
pyrD,Fis   PurRHypoxanthine 
recA,LexA 
rhaS  rhaR,RhaS  RhaSLrhamnose   RhaRLrhamnose   CRPcAMP 
sodA,IHF   FurFesup2sup   FNR   ArcA   SoxS   Rob   MarA   CRPcAMP 
ssb,LexA   ArcA 
sulA,RcdA    LexA 
trpA  trpB  trpC  trpD  trpE  trpL,TrpRTryptophan 
tyrR,TyrR 
uvrA,LexA   ArcA 
